🕘️更新时间,#genre#
2025-12-11 17:45:06,http://39.150.98.32:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1,http://39.150.98.32:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://39.150.98.32:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://211.142.224.62:2023/paiptv/CCTV1.m3u8
CCTV-1,http://171.14.89.254:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://171.14.89.253:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://36.135.118.195:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://iptv.cqshushu.com/migu.php?pid=cctv1&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-2,http://39.150.98.32:7799/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://39.150.98.32:7799/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://211.142.224.62:2023/paiptv/CCTV2.m3u8
CCTV-2,http://171.14.89.254:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://171.14.89.253:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://36.135.118.195:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://iptv.cqshushu.com/migu.php?pid=cctv2&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-3,http://39.150.98.32:7799/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://211.142.224.62:2023/paiptv/CCTV3.m3u8
CCTV-3,http://171.14.89.254:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://171.14.89.253:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://36.135.118.195:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://iptv.cqshushu.com/migu.php?pid=cctv3&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-4,http://39.150.98.32:7799/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://39.150.98.32:7799/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://211.142.224.62:2023/paiptv/CCTV4.m3u8
CCTV-4,http://171.14.89.254:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://171.14.89.253:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://36.135.118.195:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://iptv.cqshushu.com/migu.php?pid=cctv4&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-4,http://iptv.cqshushu.com/migu.php?pid=cctv4oz&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-4,http://iptv.cqshushu.com/migu.php?pid=cctv4mz&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-5,http://39.150.98.32:7799/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://39.150.98.32:7799/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://211.142.224.62:2023/paiptv/CCTV5.m3u8
CCTV-5,http://171.14.89.254:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://171.14.89.253:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://36.135.118.195:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://iptv.cqshushu.com/migu.php?pid=cctv5&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-5,http://iptv.cqshushu.com/migu.php?pid=cctv5p&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-5+,http://39.150.98.32:7799/tsfile/live/0016_5.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://36.135.118.195:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6,http://39.150.98.32:7799/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://211.142.224.62:2023/paiptv/CCTV6.m3u8
CCTV-6,http://171.14.89.254:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://171.14.89.253:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://36.135.118.195:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6,http://iptv.cqshushu.com/migu.php?pid=cctv6&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-7,http://39.150.98.32:7799/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://39.150.98.32:7799/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://211.142.224.62:2023/paiptv/CCTV7.m3u8
CCTV-7,http://171.14.89.254:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://171.14.89.253:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://36.135.118.195:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://iptv.cqshushu.com/migu.php?pid=cctv7&token=77086904ec08fd55eb40d3b01136d84f$订阅源
CCTV-8,http://39.150.98.32:7799/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://211.142.224.62:2023/paiptv/CCTV8.m3u8
CCTV-8,http://171.14.89.254:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://171.14.89.253:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://36.135.118.195:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
